creationTime,productSize,productColor,content
2019-10-13 18:16:53,全网通（8GB 128GB）,幻夜黑,"外形外观：外观漂亮
拍照效果：这拍照效果真心的还不如千元机，我个荣耀十都拍的比它清晰，今天刚到拍了试试感觉一层蒙蒙的效果，不清晰，在考虑退货还是换机，不知道本事机子问题还是就是这个样"
2019-08-05 20:33:30,全网通（8GB 128GB）,幻影蓝,感觉手机被别人打开过。数据线好乱
2019-09-12 17:07:05,全网通（8GB 128GB）,冰岛白,"外形外观：还可以
屏幕音效：一般般
拍照效果：美颜效果很差，不好看
运行速度：还行
待机时间：电量很快耗尽
其他特色：无"
2019-09-19 15:19:16,全网通（8GB 128GB）,幻夜黑,外形外观：看着比较漂亮，就是说的送东西的，没有了，没有耳机和充电宝，需要单独买
2019-07-22 23:34:59,全网通（8GB 128GB）,幻影蓝,辣鸡中的战斗机！
2019-09-14 19:57:31,全网通（8GB 128GB）,幻影蓝,手机还是可以的，但明明说送耳机或蓝牙耳机的却没有
2019-07-21 21:10:44,全网通（8GB 256GB）,幻夜黑,一直在京东买手机，这次买的手机有点小问题，就希望快点给换一个手机发货，还是挺看好京东的。
2019-07-15 21:48:36,全网通（8GB 128GB）,幻影蓝,手机易发热买错了
2019-07-02 11:42:01,全网通（8GB 128GB）,幻夜黑,这才几天就掉漆了，哈哈哈，
2019-06-29 00:06:50,全网通（8GB 128GB）,幻夜黑,使用还可以，就是赠品有坑。别人都有耳机赠送，到我这里就没有了
2019-10-07 13:43:10,全网通（8GB 128GB）,蓝水翡翠,"外形外观：外观简洁大气，好看，手感超好：
屏幕音效：屏幕清晰，看着舒服，顶部平的比mate30的好看
拍照效果：超级无敌，跟mate30比可能要好一点
运行速度：速度非常快"
2019-06-14 17:44:03,全网通（8GB 128GB）,幻夜黑,特意用了几天才来评论的，其他的都还行，就是一玩游戏会发热。
2019-06-13 21:43:22,全网通（8GB 256GB）,冰岛白,唉
2019-09-29 16:59:33,全网通（8GB 128GB）,幻影蓝,"外形外观：很好 很漂亮
屏幕音效：还不错  音质挺好
拍照效果：很好  很清晰
运行速度：非常快，
待机时间：没有试过
其他特色：为啥只给一星呢，因为头天买的时候问客服最近一两天有没有活动，客服跟我说不知道，作为一个服务人员，店内做什么活动，或者即将做什么活动优惠怎么可能不知道，头天下了单第二天就有购机送移动电源和自拍杆的活动，我是嫌麻烦，不然真想退货重买，就冲这个，就给一星。"
2019-06-24 19:25:35,全网通（8GB 128GB）,幻夜黑,人工服务特不好，本来想第二次购买，
2019-09-22 12:49:59,全网通（8GB 128GB）,冰岛白,2019年9月1号买的买的时候2699到9月22就变2489了这以后还能让人想买你们手机吗
2019-07-10 17:59:57,全网通（8GB 256GB）,幻夜黑,什么逼手机啊，还***全国拿第一呢，还想
2019-06-28 15:43:21,全网通（8GB 128GB）,幻夜黑,谁能给我解释一下，这980跑分
2019-06-19 10:03:15,全网通（8GB 128GB）,幻夜黑,东西还是可用的，毕竟价格就那样
2019-07-20 13:34:10,全网通（8GB 128GB）,冰岛白,手机好，物流快，1分是怕华为骄傲，期待总销量赶紧超过三星。
2019-07-20 16:41:33,全网通（8GB 128GB）,幻夜黑,"买了才发现可以领
100元优惠券，没领到呜呜"
